slug,title,department_slug,year,status,description,cover_image_url,cover_image_alt
recruitment-week-and-welcome-week,Recruitment Week and Welcome Week,,2026,published,"Ateneo Celadon's Recruitment Week & Welcome introduces new and returning members to the organization's culture and community. The celebration kicks off with a Mahjong Mixer open to all Ateneans to share Chinese culture and teach the game, followed by active recruitment during COA RecWeek with a vibrant booth featuring fun gimmicks and activities. The experience concludes with Welcome Week, featuring mahjong tables, department showcases, and kamustahan interviews to help new members connect and share their goals for the year ahead.",,
mid-autumn-festival,Mid-Autumn Festival,cul,2026,published,"The Mid-Autumn Festival (MAF) is Celadon's first major event after RecWeek and Welcome Week intended for participants to form a stronger sense of community through Filipino-Chinese traditions. The project features both an interactive Chinese art workshop and a festive dinner which includes live performances, prizes, and the traditional dice game.",,
chinese-new-year,Chinese New Year,cul,2026,published,"Ateneo Celadon's Chinese New Year (CNY) celebration transforms Chinese-Filipino tradition into a lively hands-on experience with activity booths, food booths, events, and colorful decor that feels both traditional and fresh. It hopes to create lasting memories and promote a deeper appreciation for the Chinese-Filipino heritage among the Ateneo community.",,
spring-film-festival,Spring Film Festival,cul,2026,published,"The Spring Film Festival, held in collaboration with the Ricardo Leong Center for Chinese Studies, is a three-day cultural event held in Shangri-La Plaza that features the wonders of Filipino-Chinese culture through film, song, and dance which are reflected by movie screenings, musical performances, and cultural workshops.",,
mandopop-music-festival,Mandopop Music Festival,cul,2026,published,"The Mandopop Music Festival is a one-day concert held outside Ateneo that celebrates Chinese pop culture through live musical performances, student bands, and nostalgic music. It aims to make Chinese culture more relatable to young audiences while creating a lively space for entertainment, cultural appreciation, and community.",,
talab-x-faculty-appreciation-week,TALAB x Faculty Appreciation Week,,2026,published,"TALAB: Talakayang Alay sa Bayan (TALAB) is a yearly school-wide event with events sharing a unified goal of sharing various perspectives under one theme. With this year's theme being 'Solidarity Amidst Diversity', we aim to encapsulate this by answering the question of: ""How do you forge solidarity and nation-building as Chinese-Filipinos?"". FAW: Faculty Appreciation Week (FAW) is an initiative where students are given an opportunity to show appreciation to the faculty of Ateneo. Gift bags and letters are prepared and given to each department and office, and other initiatives are prepared to show appreciation.",,
binondo-amazing-race,Binondo Amazing Race,cul,2026,published,The Binondo Amazing Race is an interactive competition consisting of team-based challenges set in various locations within the Old Chinatown area. It aims to foster a sense of cultural awareness through highlighting the historical significance of Binondo as integral to Chinese-Filipino culture and curating meaningful activities participants can engage in.,,
jade-business-summit,Jade Business Summit,exrel,2026,published,"The Jade Business Summit is a seminar and interactive workshop event that brings together seasoned Chinese-Filipino business leaders and business-minded students. The summit features a lecture series open to the general public, highlighting valuable insights from accomplished Chinese-Filipino businessmen on entrepreneurship and legacy-building.",,
celadon-merchandise,Celadon Merchandise,fin,2026,published,"Celadon Merchandise is a project that promotes Chinese culture within the Ateneo Community while simultaneously portraying Celadon's organizational identity and promoting the brand through its merchandise. Through integrating creativity and culture into its products, this project empowers individuals to express themselves, their preferences, and fashion styles freely.",,
lunar-lotus-market,Lunar Lotus Market,fin,2026,published,"The Lunar Lotus Market is Celadon's week-long cultural bazaar that brings together artists, local businesses, and concessionaires in a curated marketplace. Inspired by the lotus blooming amidst the rain, the project transforms the campus into a welcoming space where students can discover unique products and connect through shared experiences.",,
rose-sale,Celadon Rose Sale,fin,2026,published,"Celadon Rose Sale is the Celadon Finance department's flagship fundraising project, taking place on Valentine's Week. It offers various Valentine's Day gifts such as assorted flowers and couple-themed products, allowing both members and non-members of Celadon alike to take the time, effort, and money to appreciate their loved ones.",,
celadon-ball,Celadon Ball,hr,2026,published,"Celadon Ball is an event that celebrates the culmination of the year Celadon experienced, filled with fun festivities, activities and the chance to dress up and spend time with different members of Celadon. The theme is meant to highlight the existing vision and mission of Celadon by creating an opportunity to bridge cultural gaps and form long-lasting friendships through celebration.",,
leadership-development-program,Leadership Development Program,hr,2026,published,"Leadership Development Program is a 3-day, off-campus activity designed to develop the leadership skills of members through activity-based modules and experiential learning. It provides participants with opportunities to practice essential leadership competencies such as teamwork, and decision-making. The program encourages members to appreciate their cultural identity by incorporating cultural awareness.",,
